file,label,n_points,density_qual,mean_neighbor_dist,uniformity,shape_type,elongation,surface_class,mean_curvature,curvature_std,normals_consistency,mean_normal_angle_deg,n_components,isolated_clusters,integrity,integrity_qual
valve_0004_lidar_classes.ply,3,79,low,0.127037924977166,0.36650258367575345,linear,42.871235328496574,slightly curved,0.048326835389632776,0.03352242331082302,medium (cylindrical/spherical),26.100899828030897,2,1,0.9746835443037974,mostly intact with small outliers
valve_0004_lidar_classes.ply,5,1492,medium,0.11027924616028167,0.3576358292674696,planar,12.869247979233794,slightly curved,0.07198927037358599,0.04752371357491163,low (complex/noisy),33.787374539403615,4,2,0.9946380697050938,highly intact (one main component)
valve_0004_lidar_classes.ply,6,448,medium,0.11733333356915428,0.3664403945498017,volumetric,4.510828414313284,slightly curved,0.06770015193486163,0.042244410256275594,low (complex/noisy),31.076939266536083,13,1,0.265625,fragmented or many components
valve_0004_lidar_classes.ply,7,73,low,0.12974793337761925,0.43475340683839414,linear,40.59476302444616,slightly curved,0.0438870225260013,0.02190411338785087,medium (cylindrical/spherical),21.083290687471223,3,1,0.7808219178082192,fragmented or many components
valve_0004_lidar_classes.ply,8,1558,medium,0.11586334515107424,0.3911845398675854,planar,15.2511927273679,slightly curved,0.05227269034769242,0.043436790998997284,medium (cylindrical/spherical),22.497092416807874,6,5,0.9961489088575096,highly intact (one main component)
valve_0004_lidar_classes.ply,9,1941,medium,0.10453365619158766,0.49629060040895434,planar,21.523610631058084,slightly curved,0.058230511575135896,0.04422704860273817,medium (cylindrical/spherical),25.61509942323978,21,17,0.9489953632148377,mostly intact with small outliers
valve_0004_lidar_classes.ply,10,3230,medium,0.10285381605545697,0.39913717326685955,volumetric,2.3608914678713204,slightly curved,0.0519372960038033,0.045464354775375464,medium (cylindrical/spherical),20.37575948973744,8,6,0.9962848297213622,highly intact (one main component)
valve_0004_lidar_classes.ply,11,743,medium,0.11912487564147417,0.40958465801571897,planar,34.37033052881934,slightly curved,0.04091203348186705,0.038387470736325154,medium (cylindrical/spherical),16.866893035285752,3,1,0.9932705248990579,highly intact (one main component)
valve_0004_lidar_classes.ply,12,1337,medium,0.11103665761638101,0.32460610186615807,planar,12.896660219025389,slightly curved,0.04729448855084837,0.0390533924023646,medium (cylindrical/spherical),20.236970164861106,4,3,0.9970082273747195,highly intact (one main component)
valve_0004_lidar_classes.ply,13,721,medium,0.10628292096425113,0.3151646938558477,volumetric,2.881533274990533,slightly curved,0.07324674388993445,0.04963371964033416,low (complex/noisy),30.223413536202184,4,3,0.9958391123439667,highly intact (one main component)
valve_0005_lidar_classes.ply,2,427,medium,0.13353166891314888,0.5458203882501523,volumetric,3.004289425248271,slightly curved,0.0647624267293832,0.04211624648712821,low (complex/noisy),31.413678837844138,22,5,0.11007025761124122,fragmented or many components
valve_0005_lidar_classes.ply,3,71,low,0.11885332207757493,0.3335391535272495,linear,37.37451415454839,slightly curved,0.07622648753417689,0.0416636118915362,low (complex/noisy),34.779623264185894,2,0,0.6197183098591549,fragmented or many components
valve_0005_lidar_classes.ply,5,1623,medium,0.10985267735973893,0.36791293398941965,planar,13.366669719260479,slightly curved,0.07518439916814769,0.04804500911296047,low (complex/noisy),34.16818741126161,4,3,0.9981515711645101,highly intact (one main component)
valve_0005_lidar_classes.ply,6,352,medium,0.1546427537794652,0.8410480211308915,volumetric,2.8003701481794367,slightly curved,0.06652605383198257,0.04408700923788183,low (complex/noisy),31.08170577626279,29,12,0.125,fragmented or many components
valve_0005_lidar_classes.ply,7,65,low,0.15512229986639345,0.489698646644292,linear,59.212461271316535,slightly curved,0.05740427094216445,0.04359013599162344,low (complex/noisy),36.28475287677402,3,1,0.6461538461538462,fragmented or many components
valve_0005_lidar_classes.ply,8,1945,medium,0.1054394964004088,0.43696122423960265,planar,21.00505767129247,slightly curved,0.05780857691231248,0.0445396179653598,medium (cylindrical/spherical),24.61486482805961,9,8,0.9928020565552699,highly intact (one main component)
valve_0005_lidar_classes.ply,9,1055,medium,0.1290241082708474,0.43599859837044436,planar,22.520334727949823,slightly curved,0.0450752114842093,0.03760649878469499,medium (cylindrical/spherical),20.67964883374211,13,10,0.966824644549763,mostly intact with small outliers
valve_0005_lidar_classes.ply,10,3601,medium,0.10157369458812329,0.40740362557026955,volumetric,2.990265207761527,slightly curved,0.04298612872439339,0.03836151917442559,medium (cylindrical/spherical),17.16713320501593,17,13,0.968064426548181,mostly intact with small outliers
valve_0005_lidar_classes.ply,11,774,medium,0.11952134680869654,0.43324957338969755,planar,42.43333007958589,slightly curved,0.03929076561390314,0.03533676230210634,medium (cylindrical/spherical),17.480438188873837,6,5,0.9909560723514211,highly intact (one main component)
valve_0005_lidar_classes.ply,12,1357,medium,0.11567365041137695,0.378511511312913,planar,11.91755391352444,slightly curved,0.05015414655633414,0.04033500265235718,medium (cylindrical/spherical),20.685811706226556,7,6,0.9948415622697127,highly intact (one main component)
valve_0005_lidar_classes.ply,13,669,medium,0.10612110429816984,0.31882170197016213,volumetric,2.9039583342992055,slightly curved,0.06518309491235444,0.04493291385978137,medium (cylindrical/spherical),26.258264817002466,3,2,0.9970104633781763,highly intact (one main component)
